mode,h1_start,h1_end,h2_start,h2_end,h3_start,h3_end,l1_start,l1_end,l2_start,l2_end,l3_start,l3_end,pdb_name,processed_path,raw_path,num_chains,quaternary_category,seq_len,modeled_seq_len,coil_percent,helix_percent,strand_percent,radius_gyration,loop_info_dir
ab,25.0,31.0,51.0,56.0,98.0,105.0,140.0,150.0,166.0,172.0,205.0,213.0,6ddr_B_A_C,/home/psh/data/train/meta/6ddr_B_A_C.pkl,/home/psh/data/train/pdb/6ddr_B_A_C.pdb,3,heteromer,318,318,0.4119496855345912,0.0566037735849056,0.5314465408805031,2.0060016752157885,
ab,24.0,30.0,50.0,55.0,97.0,104.0,139.0,150.0,166.0,172.0,205.0,213.0,6ddm_B_A_C,/home/psh/data/train/meta/6ddm_B_A_C.pkl,/home/psh/data/train/pdb/6ddm_B_A_C.pdb,3,heteromer,312,312,0.391025641025641,0.0673076923076923,0.5416666666666666,2.04742593195853,
ab,25.0,31.0,51.0,56.0,98.0,117.0,152.0,162.0,178.0,184.0,217.0,224.0,1za3_H_L_R,/home/psh/data/train/meta/1za3_H_L_R.pkl,/home/psh/data/train/pdb/1za3_H_L_R.pdb,3,heteromer,326,326,0.5184049079754601,0.0368098159509202,0.4447852760736196,2.080133511169495,
ab,25.0,31.0,51.0,56.0,98.0,104.0,136.0,150.0,166.0,172.0,205.0,213.0,2r69_H_L_A,/home/psh/data/train/meta/2r69_H_L_A.pkl,/home/psh/data/train/pdb/2r69_H_L_A.pdb,3,heteromer,321,321,0.6947040498442367,0.0186915887850467,0.2866043613707165,2.0577184616837685,
ab,25.0,31.0,51.0,56.0,98.0,108.0,143.0,154.0,170.0,176.0,209.0,217.0,1ob1_B_A_C,/home/psh/data/train/meta/1ob1_B_A_C.pkl,/home/psh/data/train/pdb/1ob1_B_A_C.pdb,3,heteromer,323,323,0.5046439628482973,0.0681114551083591,0.4272445820433436,2.1797420078899976,
ab,25.0,31.0,51.0,56.0,98.0,105.0,140.0,154.0,170.0,176.0,209.0,217.0,6flb_H_L_G,/home/psh/data/train/meta/6flb_H_L_G.pkl,/home/psh/data/train/pdb/6flb_H_L_G.pdb,3,heteromer,328,328,0.4451219512195122,0.0365853658536585,0.5182926829268293,2.098950529397148,
ab,25.0,31.0,51.0,56.0,98.0,108.0,143.0,153.0,169.0,175.0,208.0,216.0,2vwe_E_C_A,/home/psh/data/train/meta/2vwe_E_C_A.pkl,/home/psh/data/train/pdb/2vwe_E_C_A.pdb,3,heteromer,324,324,0.4567901234567901,0.0524691358024691,0.4907407407407407,2.4459719087742795,
ab,25.0,31.0,51.0,56.0,98.0,105.0,140.0,154.0,170.0,176.0,209.0,217.0,5tlj_D_C_X,/home/psh/data/train/meta/5tlj_D_C_X.pkl,/home/psh/data/train/pdb/5tlj_D_C_X.pdb,3,heteromer,302,302,0.5596026490066225,0.009933774834437,0.4304635761589404,1.9999496252333304,
ab,25.0,31.0,51.0,56.0,98.0,106.0,140.0,152.0,168.0,174.0,209.0,217.0,5hhv_H_L_A,/home/psh/data/train/meta/5hhv_H_L_A.pkl,/home/psh/data/train/pdb/5hhv_H_L_A.pdb,3,heteromer,318,318,0.449685534591195,0.050314465408805,0.5,2.2334308278905706,
ab,25.0,31.0,51.0,56.0,98.0,115.0,150.0,161.0,177.0,183.0,216.0,224.0,6wir_A_B_C,/home/psh/data/train/meta/6wir_A_B_C.pkl,/home/psh/data/train/pdb/6wir_A_B_C.pdb,3,heteromer,324,324,0.4290123456790123,0.0586419753086419,0.5123456790123457,2.4012330022867765,
ab,25.0,31.0,51.0,56.0,98.0,106.0,140.0,152.0,168.0,174.0,209.0,217.0,5hi4_H_L_A,/home/psh/data/train/meta/5hi4_H_L_A.pkl,/home/psh/data/train/pdb/5hi4_H_L_A.pdb,3,heteromer,317,317,0.4321766561514195,0.0599369085173501,0.5078864353312302,2.2072288971509293,
ab,25.0,31.0,51.0,56.0,98.0,104.0,139.0,154.0,170.0,176.0,209.0,217.0,5mo9_H_L_X,/home/psh/data/train/meta/5mo9_H_L_X.pkl,/home/psh/data/train/pdb/5mo9_H_L_X.pdb,3,heteromer,330,330,0.4151515151515151,0.0454545454545454,0.5393939393939394,2.088991099915868,
